MD,X,Y,Well
0,1041013,1413348,Aguachica-2
5750,1041013,1413348,Aguachica-2
0,1044658.8,1413281.51,Caramelo-1
15,1044658.8,1413281.51,Caramelo-1
133,1044658.83,1413281.54,Caramelo-1
318,1044658.84,1413281.67,Caramelo-1
502,1044658.59,1413281.89,Caramelo-1
687,1044658.79,1413282.12,Caramelo-1
780,1044659.49,1413282.25,Caramelo-1
871,1044660.97,1413282.43,Caramelo-1
964,1044663.91,1413282.73,Caramelo-1
1060,1044669.02,1413283.03,Caramelo-1
1153,1044675.94,1413282.76,Caramelo-1
1247,1044684.51,1413281.88,Caramelo-1
1343,1044694.89,1413280.64,Caramelo-1
1435,1044706.32,1413279,Caramelo-1
1529,1044719.38,1413276.9,Caramelo-1
1622,1044733.06,1413274.83,Caramelo-1
1715,1044746.81,1413272.77,Caramelo-1
1801,1044759.6,1413270.95,Caramelo-1
1895,1044773.43,1413269.16,Caramelo-1
1989,1044786.88,1413267.21,Caramelo-1
2083,1044799.81,1413265.13,Caramelo-1
2173,1044811.7,1413263.15,Caramelo-1
2272,1044824.22,1413261.14,Caramelo-1
2368,1044835.54,1413259.52,Caramelo-1
2460,1044845.55,1413258.15,Caramelo-1
2554,1044855.09,1413256.8,Caramelo-1
2648,1044863.85,1413255.46,Caramelo-1
2740,1044871.52,1413254.24,Caramelo-1
2828,1044878.22,1413253.17,Caramelo-1
2918,1044884.66,1413252.22,Caramelo-1
3022,1044891.32,1413251.34,Caramelo-1
3114,1044896.28,1413250.67,Caramelo-1
3205,1044900.42,1413250.1,Caramelo-1
3304,1044903.93,1413249.79,Caramelo-1
3395,1044906.1,1413249.78,Caramelo-1
3489,1044907.62,1413249.76,Caramelo-1
3583,1044908.65,1413249.56,Caramelo-1
3678,1044909.12,1413249.18,Caramelo-1
3773,1044909.12,1413248.72,Caramelo-1
3867,1044909.09,1413248.24,Caramelo-1
3959,1044909.21,1413247.97,Caramelo-1
4052,1044909.44,1413247.79,Caramelo-1
4117,1044909.66,1413247.73,Caramelo-1
4274,1044910.36,1413247.77,Caramelo-1
4368,1044910.83,1413247.72,Caramelo-1
4461,1044910.98,1413247.79,Caramelo-1
4555,1044910.61,1413248.14,Caramelo-1
4649,1044909.82,1413248.67,Caramelo-1
4743,1044909.35,1413249.13,Caramelo-1
4838,1044909.46,1413249.43,Caramelo-1
4932,1044909.81,1413249.72,Caramelo-1
5026,1044910.18,1413249.91,Caramelo-1
5120,1044910.58,1413249.91,Caramelo-1
5215,1044911.17,1413249.87,Caramelo-1
5308,1044911.61,1413249.98,Caramelo-1
5338,1044911.71,1413250.06,Caramelo-1
5400,1044911.88,1413250.28,Caramelo-1
0,1044650.76,1413287.82,Caramelo-2
144,1044650.86,1413287.71,Caramelo-2
440,1044651.23,1413287.35,Caramelo-2
900,1044651.8,1413287.64,Caramelo-2
930,1044651.8,1413287.65,Caramelo-2
1120,1044651.72,1413287.62,Caramelo-2
1214,1044651.77,1413287.71,Caramelo-2
1307,1044651.91,1413287.81,Caramelo-2
1400,1044652.11,1413287.93,Caramelo-2
1492,1044652.28,1413288.04,Caramelo-2
1586,1044652.39,1413288.14,Caramelo-2
1680,1044652.74,1413288.55,Caramelo-2
1774,1044653.7,1413289.64,Caramelo-2
1868,1044655.01,1413291.22,Caramelo-2
1962,1044656.4,1413292.93,Caramelo-2
2057,1044658.02,1413294.85,Caramelo-2
2150,1044659.98,1413297.21,Caramelo-2
2244,1044662.5,1413299.86,Caramelo-2
2339,1044665.67,1413302.69,Caramelo-2
2433,1044669.06,1413305.78,Caramelo-2
2527,1044672.75,1413309.25,Caramelo-2
2621,1044677.1,1413313.12,Caramelo-2
2714,1044682.14,1413317.18,Caramelo-2
2809,1044688.04,1413321.7,Caramelo-2
2903,1044694.4,1413326.88,Caramelo-2
2996,1044701.05,1413332.63,Caramelo-2
3090,1044707.97,1413338.59,Caramelo-2
3184,1044714.94,1413344.36,Caramelo-2
3278,1044721.96,1413349.83,Caramelo-2
3372,1044728.86,1413355.42,Caramelo-2
3466,1044735.67,1413361.47,Caramelo-2
3560,1044742.53,1413367.59,Caramelo-2
3655,1044749.46,1413373.38,Caramelo-2
3749,1044756.37,1413379.11,Caramelo-2
3842,1044763.22,1413384.84,Caramelo-2
3936,1044770.07,1413390.57,Caramelo-2
4031,1044777.03,1413396.67,Caramelo-2
4130,1044784.52,1413403.54,Caramelo-2
4275,1044795.69,1413414.02,Caramelo-2
4370,1044803.07,1413420.58,Caramelo-2
4465,1044810.49,1413426.73,Caramelo-2
4560,1044817.69,1413432.68,Caramelo-2
4654,1044824.58,1413438.05,Caramelo-2
4736,1044830.56,1413442.13,Caramelo-2
4800,1044835.16,1413445.08,Caramelo-2
